dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,13.000000,0.007718,0.771846,38.592318,1929.615913,0.000000
0.020000,0.000000,13.000000,0.007718,0.000000,-38.592318,-3859.231826,0.000000
0.020000,0.052340,13.000000,0.060058,2.617001,130.850069,8472.119349,0.000000
0.020000,0.144962,13.000000,0.152680,4.631078,100.703841,-1507.311392,0.000000
0.020000,0.268457,13.000000,0.276175,6.174771,77.184637,-1175.960217,0.000000
0.020000,0.422826,13.000000,0.430545,7.718464,77.184637,-0.000000,0.000000
0.020000,0.608069,13.000000,0.615788,9.262156,77.184637,-0.000000,0.000000
0.020000,0.824186,13.000000,0.831905,10.805849,77.184637,0.000000,0.000000
0.020000,1.071177,13.000000,1.078896,12.349542,77.184637,0.000000,0.000000
0.020000,1.349042,13.000000,1.356760,13.893235,77.184637,-0.000000,0.000000
0.020000,1.657780,13.000000,1.665499,15.436927,77.184637,-0.000000,0.000000
0.020000,1.997393,13.000000,2.005111,16.980620,77.184637,-0.000000,0.000000
0.020000,2.367879,13.000000,2.375598,18.524313,77.184637,0.000000,0.000000
0.020000,2.769239,13.000000,2.776958,20.068005,77.184637,0.000000,0.000000
0.020000,3.201473,13.000000,3.209192,21.611698,77.184637,-0.000000,0.000000
0.020000,3.664581,13.000000,3.672299,23.155391,77.184637,-0.000000,0.000000
0.020000,4.158563,13.000000,4.166281,24.699084,77.184637,0.000000,0.000000
0.020000,4.683418,13.000000,4.691137,26.242776,77.184637,-0.000000,0.000000
0.020000,5.239148,13.000000,5.246866,27.786469,77.184637,0.000000,0.000000
0.020000,5.825751,13.000000,5.833469,29.330162,77.184637,-0.000000,0.000000
0.020000,6.443228,13.000000,6.450946,30.873855,77.184637,0.000000,0.000000
0.020000,7.091579,13.000000,7.099297,32.417547,77.184637,0.000000,0.000000
0.020000,7.770804,13.000000,7.778522,33.961240,77.184637,-0.000000,0.000000
0.020000,8.480902,13.000000,8.488621,35.504933,77.184637,0.000000,0.000000
0.020000,9.221875,13.000000,9.229593,37.048626,77.184637,0.000000,0.000000
0.020000,9.993721,13.000000,10.001440,38.592318,77.184637,-0.000000,0.000000
0.020000,10.796441,13.000000,10.804160,40.136011,77.184637,0.000000,0.000000
0.020000,11.630036,13.000000,11.637754,41.679704,77.184637,-0.000000,0.000000
0.020000,12.494503,13.000000,12.502222,43.223396,77.184637,0.000000,0.000000
0.020000,13.389845,13.000000,13.397564,44.767089,77.184637,-0.000000,0.000000
0.020000,14.316061,13.000000,14.323779,46.310782,77.184637,-0.000000,0.000000
0.020000,15.273150,13.000000,15.280869,47.854475,77.184637,0.000000,0.000000
0.020000,16.261114,13.000000,16.268832,49.398167,77.184637,-0.000000,0.000000
0.020000,17.279951,13.000000,17.287669,50.941860,77.184637,0.000000,0.000000
0.020000,18.329662,13.000000,18.337380,52.485553,77.184637,0.000000,0.000000
0.020000,19.410247,13.000000,19.417965,54.029246,77.184637,-0.000000,0.000000
0.020000,20.521706,13.000000,20.529424,55.572938,77.184637,0.000000,0.000000
0.020000,21.664038,13.000000,21.671757,57.116631,77.184637,0.000000,0.000000
0.020000,22.837245,13.000000,22.844963,58.660324,77.184637,-0.000000,0.000000
0.020000,24.032868,13.000000,24.040587,59.781166,56.042112,-1057.126221,0.000000
0.020000,25.227014,13.000000,25.234733,59.707311,-3.692731,-2986.742134,0.000000
0.020000,26.397267,13.000000,26.404985,58.512615,-59.734843,-2802.105606,0.000000
0.020000,27.536645,13.000000,27.544363,56.968922,-77.184637,-872.489692,0.000000
0.020000,28.645150,13.000000,28.652868,55.425229,-77.184637,0.000000,0.000000
0.020000,29.722780,13.000000,29.730499,53.881536,-77.184637,-0.000000,0.000000
0.020000,30.769537,13.000000,30.777256,52.337844,-77.184637,0.000000,0.000000
0.020000,31.785420,13.000000,31.793139,50.794151,-77.184637,-0.000000,0.000000
0.020000,32.770429,13.000000,32.778148,49.250458,-77.184637,0.000000,0.000000
0.020000,33.724565,13.000000,33.732283,47.706765,-77.184637,0.000000,0.000000
0.020000,34.647826,13.000000,34.655545,46.163073,-77.184637,-0.000000,0.000000
0.020000,35.540214,13.000000,35.547932,44.619380,-77.184637,0.000000,0.000000
0.020000,36.401727,13.000000,36.409446,43.075687,-77.184637,-0.000000,0.000000
0.020000,37.232367,13.000000,37.240086,41.531995,-77.184637,0.000000,0.000000
0.020000,38.032133,13.000000,38.039852,39.988302,-77.184637,0.000000,0.000000
0.020000,38.801026,13.000000,38.808744,38.444609,-77.184637,-0.000000,0.000000
0.020000,39.539044,13.000000,39.546762,36.900916,-77.184637,-0.000000,0.000000
0.020000,40.246188,13.000000,40.253907,35.357224,-77.184637,0.000000,0.000000
0.020000,40.922459,13.000000,40.930177,33.813531,-77.184637,-0.000000,0.000000
0.020000,41.567856,13.000000,41.575574,32.269838,-77.184637,0.000000,0.000000
0.020000,42.182379,13.000000,42.190097,30.726145,-77.184637,0.000000,0.000000
0.020000,42.766028,13.000000,42.773746,29.182453,-77.184637,-0.000000,0.000000
0.020000,43.318803,13.000000,43.326521,27.638760,-77.184637,0.000000,0.000000
0.020000,43.840704,13.000000,43.848423,26.095067,-77.184637,0.000000,0.000000
0.020000,44.331732,13.000000,44.339450,24.551374,-77.184637,-0.000000,0.000000
0.020000,44.791885,13.000000,44.799604,23.007682,-77.184637,0.000000,0.000000
0.020000,45.221165,13.000000,45.228884,21.463989,-77.184637,-0.000000,0.000000
0.020000,45.619571,13.000000,45.627290,19.920296,-77.184637,0.000000,0.000000
0.020000,45.987103,13.000000,45.994822,18.376604,-77.184637,-0.000000,0.000000
0.020000,46.323761,13.000000,46.331480,16.832911,-77.184637,0.000000,0.000000
0.020000,46.629546,13.000000,46.637264,15.289218,-77.184637,0.000000,0.000000
0.020000,46.904456,13.000000,46.912175,13.745525,-77.184637,0.000000,0.000000
0.020000,47.148493,13.000000,47.156211,12.201833,-77.184637,0.000000,0.000000
0.020000,47.361656,13.000000,47.369374,10.658140,-77.184637,0.000000,0.000000
0.020000,47.543945,13.000000,47.551663,9.114447,-77.184637,0.000000,0.000000
0.020000,47.695360,13.000000,47.703078,7.570754,-77.184637,-0.000000,0.000000
0.020000,47.815901,13.000000,47.823619,6.027062,-77.184637,0.000000,0.000000
0.020000,47.905568,13.000000,47.913287,4.483369,-77.184637,0.000000,0.000000
0.020000,47.964362,13.000000,47.972080,2.939676,-77.184637,0.000000,0.000000
0.020000,47.993020,13.000000,48.000739,1.432911,-75.338271,92.318264,0.000000
0.020000,48.000000,13.000000,48.007718,0.348996,-54.195747,1057.126221,0.000000
0.020000,48.000000,13.000000,48.007718,0.000000,-17.449794,1837.297649,0.000000
